SQL>     select * from TASK_CODE order by task_id;

TASK_ID       |TASK_TYPE                                                                       |BIZ_ID|DISA|COMB|FLOWNAME                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
0620001       |重大變故通告作業                                                                |062   |0   |0   |CRBigEvent                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
0630001       |企金案件覆審                                                                    |063   |0   |0   |EN_Review                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
0640001       |民營事業污染防治設備認定[分行]                                                  |064   |0   |0   |EN04F001                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
0640002       |民營事業污染防治額度登記[分行]                                                  |064   |0   |0   |EN04F001                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
0640003       |民營事業污染防治預計動撥[分行]                                                  |064   |0   |0   |EN04F001                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
0640004       |民營事業污染防治實際動撥[分行]                                                  |064   |0   |0   |EN04F001                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
0640005       |民營事業污染防治提前轉催[分行]                                                  |064   |0   |0   |EN04F001                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
0640006       |民營事業污染防治逾期放款[分行]                                                  |064   |0   |0   |EN04F001                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
064003        |授信月報表作業                                                                  |064   |0   |0   |EN04RPTMONTH                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
0641001       |購置自動化機器設備設備認定[分行]                                                |064   |0   |0   |EN04F001                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
0641002       |購置自動化機器設備額度登記[分行]                                                |064   |0   |0   |EN04F001                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
0641003       |購置自動化機器設備預計動撥[分行]                                                |064   |0   |0   |EN04F001                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
0641004       |購置自動化機器設備實際動撥[分行]                                                |064   |0   |0   |EN04F001                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
0641005       |購置自動化機器設備提前轉催[分行]                                                |064   |0   |0   |EN04F001                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
0641006       |購置自動化機器設備逾期放款[分行]                                                |064   |0   |0   |EN04F001                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
0642003       |輔導中小企業升級貸款預計動撥[分行]                                              |064   |0   |0   |EN04F001                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
0642004       |輔導中小企業升級貸款實際動撥[分行]                                              |064   |0   |0   |EN04F001                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
0642005       |輔導中小企業升級貸款提前轉催[分行]                                              |064   |0   |0   |EN04F001                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
0642006       |輔導中小企業升級貸款逾期放款[分行]                                              |064   |0   |0   |EN04F001                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
0643002       |振興傳統產業優惠貸款額度登記[分行]                                              |064   |0   |0   |EN04F001                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
0643003       |振興傳統產業優惠貸款預計動撥[分行]                                              |064   |0   |0   |EN04F001                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               

TASK_ID       |TASK_TYPE                                                                       |BIZ_ID|DISA|COMB|FLOWNAME                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
--------------|--------------------------------------------------------------------------------|------|----|----|----------------------------------------                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
0643004       |振興傳統產業優惠貸款實際動撥[分行]                                              |064   |0   |0   |EN04F001                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
0643005       |振興傳統產業優惠貸款提前轉催[分行]                                              |064   |0   |0   |EN04F001                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
0643006       |振興傳統產業優惠貸款逾期放款[分行]                                              |064   |0   |0   |EN04F001                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
0644001       |協助企業購併專案融資審查作業[分行]                                              |064   |0   |0   |EN04F001                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
0644002       |協助企業購併專案融資額度登記[分行]                                              |064   |0   |0   |EN04F001                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
0644003       |協助企業購併專案融資預計動撥[分行]                                              |064   |0   |0   |EN04F001                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
0644004       |協助企業購併專案融資實際動撥[分行]                                              |064   |0   |0   |EN04F001                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
0644005       |協助企業購併專案融資提前轉催[分行]                                              |064   |0   |0   |EN04F001                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
0644006       |協助企業購併專案融資逾期放款[分行]                                              |064   |0   |0   |EN04F001                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
0645001       |中小企業紮根貸款(第五期)計畫書[分行]                                            |064   |0   |0   |EN04F001                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
0646001       |醫療發展基金[分行]                                                              |064   |0   |0   |EN04F001                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
0648001       |微型企業創業貸款                                                                |064   |0   |0   |EN04F001                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
064A007       |融資窗口服務成果報表                                                            |064   |0   |0   |EN04F001                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
064A010       |彙總報備-董事會                                                                 |064   |0   |0   |EN04F002                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
064A011       |彙總報備-總經理                                                                 |064   |0   |0   |EN04F002                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
064A012       |彙總報備--副總經理                                                              |064   |0   |0   |EN04F002                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
064A013       |彙總報備--高企金                                                                |064   |0   |0   |EN04F002                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
064A015       |當月份授信業務月報表                                                            |064   |0   |0   |EN04F002                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
064A017       |民營企業放款之績效考核表                                                        |064   |0   |0   |EN04F002                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
064A018       |辦理信保基金保證業務績效考核表                                                  |064   |0   |0   |EN04F002                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
064A019       |擔保品季報表                                                                    |064   |0   |0   |EN04F002                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
064A020       |應收帳款收買業務資金運用於中國大陸彙總表                                        |064   |0   |0   |EN04F002                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
